Step	Best	Median	Predicted	Progress
0	52.2563	97.8058	0	0
1	40.8783	86.6162	-5648.15	0.27834
2	4.87937	84.2605	-11839.4	1.41647
3	28.7179	77.8683	-5670.91	0.385694
4	42.0475	84.0078	-1242.88	0.0688855
5	38.0044	83.3117	-43.0683	0.00416725
6	41.0411	77.091	620.6	-0.0303885
7	4.50511	72.067	-268.42	0.0157308
8	12.548	78.2282	-863.827	0.0515242
9	38.9803	75.8033	-297.531	0.0174748
10	4.54064	71.9499	-867.395	0.0543232
11	27.6216	77.0327	-923.552	0.0561603
12	5.80706	71.4547	-1137.76	0.0818137
13	6.26207	70.9366	-1343.29	0.114607
14	13.9088	63.9683	-1220.9	0.0988157
15	23.8507	70.9469	-896.386	0.0687318
16	16.6837	68.0013	-859.402	0.0629557
17	26.9175	65.4408	-610.841	0.0452063
18	22.3953	66.2026	-260.718	0.0209827
19	5.13211	60.85	-381.685	0.0313894
20	10.7657	67.8666	-482.709	0.0447675
21	6.16326	66.3549	-623.956	0.0560978
22	11.6326	67.7642	-529.536	0.0501122
23	5.52163	66.32	-666.953	0.0617953
24	5.87525	66.1086	-652.03	0.0626366
25	5.41857	69.2748	-646.254	0.0638452
26	6.26451	66.9428	-585.647	0.0621392
27	14.3514	58.3457	-562.894	0.061529
28	18.681	66.6113	-503.829	0.0566087
29	32.4604	63.3522	-420	0.0484698
30	15.1938	56.2466	-307.145	0.0370626
31	5.83832	51.8612	-227.291	0.0302821
32	21.5436	61.6075	-208.737	0.0265323
33	5.59075	57.4313	-206.135	0.0285432
34	5.66746	58.0065	-205.932	0.0313722
35	5.59052	54.7116	-213.449	0.0331761
36	5.71225	50.5747	-196.332	0.0316094
37	16.0607	64.1406	-186.572	0.0307083
38	5.13097	58.4857	-179.787	0.0308893
39	5.02288	50.7842	-170.024	0.0298259
40	5.52052	55.2835	-151.679	0.026984
41	5.75454	58.5485	-130.23	0.0248341
42	6.09933	49.2148	-116.209	0.0231812
43	5.74415	52.8322	-109.992	0.0221199
44	5.60217	47.6017	-109.658	0.0220084
45	20.7577	54.2985	-96.1818	0.0204978
46	5.87826	53.5543	-78.2165	0.0174064
47	5.50448	50.036	-76.5671	0.0175042
48	5.62168	43.9974	-69.3143	0.0164624
49	5.6493	48.7027	-56.312	0.0145965
50	6.08037	45.4949	-44.1629	0.0125464
51	5.65739	46.4998	-29.0455	0.00953557
52	5.64206	41.4086	-20.1296	0.00745732
53	5.62518	44.3792	-15.0514	0.00619212
54	5.33492	49.1583	-25.4105	0.00877665
55	5.4307	37.1144	-21.2565	0.0077784
56	6.13783	47.5273	-19.8993	0.00745794
57	5.73659	38.0998	-14.9847	0.00620906
58	5.98927	40.6647	-9.48162	0.00472719
59	5.71817	39.2225	-8.14668	0.00434119
60	5.67603	28.1401	-6.85889	0.00395705
61	5.41979	39.3791	-7.79349	0.00424143
62	5.66767	36.8916	-6.12015	0.00374113
63	5.61616	38.9688	-5.22741	0.00346389
64	5.6535	49.3032	-4.18062	0.00314756
65	5.83366	39.9247	-4.40257	0.00321126
66	5.53904	30.4651	-4.3816	0.00320455
67	5.60063	35.7213	-4.00898	0.00309496
68	5.31509	40.5078	-5.67495	0.00357835
69	5.3379	25.3482	-5.61673	0.0035622
70	5.56569	30.448	-3.61169	0.00297561
71	5.24209	32.999	-3.91461	0.00306637
72	5.50381	29.4196	-3.6481	0.0029845
73	5.51497	34.6057	-2.90481	0.00275906
74	5.63628	45.1239	-2.32414	0.00258108
75	5.44684	34.5737	-2.47222	0.002625
76	5.37312	38.5353	-2.77103	0.00271403
77	5.25753	38.5159	-2.91188	0.00275625
78	4.99685	45.347	-3.03818	0.00279407
79	5.40169	36.1887	-2.94513	0.00276387
80	4.70081	19.947	-3.17883	0.00283428
81	5.17515	29.9793	-3.52686	0.00294001
82	4.64852	26.4794	-3.7956	0.00302088
83	4.75476	18.9859	-4.52161	0.00323774
84	4.88538	36.6043	-4.85007	0.00333694
85	5.07113	40.0822	-4.97078	0.00338026
86	4.88488	34.5314	-5.61108	0.00357404
