Step	Best	Median	Predicted	Progress
0	80.5682	92.9839	0	0
1	80.6254	94.4481	109.22	-0.000709329
2	74.5512	93.4149	-1429.7	0.0395566
3	75.9015	91.2084	-904.091	0.0253545
4	73.149	91.7801	-906.239	0.0257438
5	75.7476	91.8199	-705.001	0.0204948
6	72.6465	91.3537	-566.337	0.0168505
7	76.7228	94.4706	-373.387	0.011778
8	77.2309	92.0683	-163.777	0.00626687
9	67.7172	87.2414	-375.173	0.0119184
10	65.1358	90.3374	-533.49	0.0164189
11	69.9267	91.8199	-443.784	0.0139162
12	47.8187	89.1664	-535.895	0.016693
13	74.2329	88.7627	-445.833	0.0141126
14	70.9354	87.056	-307.028	0.0103297
15	68.879	84.2227	-214.655	0.00777551
16	71.4031	88.1419	-202.279	0.00743649
17	69.5339	87.7608	-193.171	0.00716638
18	71.2792	86.9433	-174.556	0.00666081
19	74.8982	87.6725	-149.526	0.0060019
20	69.2084	84.2545	-111.356	0.00497156
21	67.7125	85.46	-133.806	0.00558423
22	65.5981	87.6839	-158.249	0.00626047
23	70.1018	86.331	-112.764	0.00502703
24	61.4801	84.6251	-134.798	0.00563875
25	71.0256	84.5281	-99.847	0.00468403
26	68.6872	86.3621	-87.0045	0.00433505
27	67.583	81.8471	-73.948	0.00397363
28	65.5767	83.9142	-87.6658	0.00435512
29	65.9119	83.8293	-100.426	0.00470757
30	69.4182	83.5608	-88.2834	0.00437417
31	65.8284	83.3004	-87.8079	0.00436234
32	68.6873	83.4026	-84.9324	0.00428476
33	55.6047	78.1408	-88.4224	0.00438146
34	62.1338	82.785	-102.217	0.0047616
35	57.7406	80.8136	-109.729	0.00497418
36	57.2186	81.6337	-116.337	0.00515835
37	64.2643	83.0332	-110.423	0.00499904
38	65.2697	78.1818	-105.241	0.00485429
39	63.7176	82.052	-101.652	0.00475183
40	64.5218	81.2917	-96.4554	0.00460894
41	67.6071	81.939	-93.9787	0.00453763
42	64.3772	80.3058	-90.0617	0.00442886
43	62.0998	82.7775	-94.5883	0.00455714
44	71.5295	83.1241	-88.1393	0.00438044
45	64.2386	82.286	-87.5866	0.00436608
46	56.4226	80.6261	-91.284	0.00446844
47	61.1666	80.1366	-92.5428	0.00450468
48	65.2057	82.5198	-87.5695	0.00437095
49	64.3213	80.4914	-84.7083	0.00429186
50	65.9917	78.5266	-83.4202	0.0042532
51	66.7108	76.3951	-75.1325	0.00401138
52	57.4815	79.2181	-80.5719	0.00416968
53	53.8673	78.9468	-85.3731	0.00431467
54	63.7184	79.229	-81.136	0.00418714
55	63.5561	78.4818	-76.2226	0.00404382
56	46.1297	78.9708	-81.7001	0.00420474
57	54.02	79.2202	-86.5337	0.00435223
58	61.7303	81.1154	-82.2642	0.0042225
59	57.6542	80.558	-86.9055	0.00436518
60	62.9926	78.7702	-81.9645	0.00421433
61	57.8645	77.6605	-78.0305	0.00410414
62	43.2682	80.0306	-83.4386	0.00426144
63	57.5525	78.2875	-78.9031	0.00413404
64	53.385	78.5915	-84.0027	0.00427968
65	58.3938	77.3819	-79.935	0.00416492
66	62.9967	78.9824	-79.1692	0.00414318
67	52.2376	77.0609	-80.4826	0.00418234
68	65.5279	75.4475	-79.4285	0.00415189
69	59.8086	78.4899	-78.0195	0.00410784
70	61.1264	76.4567	-76.429	0.00405971
71	63.7144	78.4101	-75.8099	0.00403608
72	62.9568	75.6847	-71.4013	0.00390569
73	48.4347	75.3853	-72.7815	0.00394972
74	58.8926	75.9747	-68.8646	0.00383425
75	57.8573	74.7951	-69.1749	0.00384147
76	54.4157	74.7855	-72.1802	0.00392949
77	51.3441	74.6646	-73.9117	0.00398414
78	55.4446	75.7432	-72.8498	0.00394957
79	46.1166	76.4354	-75.3918	0.00402835
80	55.6128	71.5125	-73.6376	0.00397322
81	53.5144	76.6335	-73.9112	0.00398551
82	51.6863	76.9909	-75.476	0.00403727
83	51.2571	73.7105	-77.2305	0.00409039
84	57.1317	75.4418	-75.9916	0.00405363
85	47.4891	74.7979	-77.7514	0.00410719
86	57.0266	74.8111	-76.5071	0.00407013
87	58.7092	74.6665	-74.4058	0.00400246
88	53.4062	76.5486	-71.8071	0.00392376
89	54.5034	75.8642	-71.6904	0.0039195
90	51.2747	75.2121	-72.3047	0.00393921
91	52.0083	72.5723	-70.4515	0.00388512
92	46.8463	70.1749	-72.203	0.0039371
93	49.333	69.6409	-74.2151	0.00399892
94	56.8422	73.821	-72.6984	0.00395266
95	48.1364	69.6659	-74.7167	0.00401498
96	54.7216	74.664	-73.1938	0.00396834
97	55.1064	73.539	-71.9212	0.00393094
98	51.4384	71.2752	-71.3264	0.00391351
99	45.5867	69.6354	-72.4111	0.00394645
100	40.8249	75.8912	-74.1845	0.00400009
101	47.5713	71.6038	-76.2214	0.00406393
102	37.2025	71.869	-78.3253	0.00413319
103	31.6152	69.3929	-79.738	0.00417944
104	55.5877	67.008	-78.833	0.00415034
105	44.5292	71.3319	-80.2495	0.00419698
106	38.6242	72.4533	-82.1857	0.00425982
107	48.1721	71.1878	-80.7611	0.00421467
108	48.8635	67.6565	-80.0234	0.00419077
109	39.8647	66.6304	-81.2727	0.0042325
110	54.7271	69.7394	-80.5317	0.0042084
111	48.3911	73.1431	-79.3432	0.00416771
112	42.3606	71.5722	-81.04	0.00422619
113	43.597	72.4027	-82.1817	0.00426492
114	51.816	72.5069	-81.0285	0.004227
115	48.7196	71.1741	-79.3752	0.00417148
116	43.4311	71.8668	-81.2547	0.00423567
117	34.9939	70.2863	-82.6832	0.0042845
118	51.8804	70.1598	-81.7604	0.00425368
119	46.4696	66.6201	-80.2316	0.00420191
120	35.4229	72.1431	-82.5482	0.00428129
121	46.0085	74.4857	-81.5627	0.00424667
122	42.5359	69.6702	-82.9152	0.00429501
123	58.5749	72.6016	-81.7942	0.00425591
124	48.1161	71.8702	-80.1291	0.00420178
125	52.3309	74.1431	-79.2684	0.00417455
126	49.8215	76.0544	-78.329	0.00414702
127	34.2543	73.741	-79.7601	0.00419205
128	42.6545	73.3636	-80.1737	0.00420643
129	48.2435	72.9655	-79.808	0.00419627
130	43.4126	75.468	-79.7096	0.004194
131	52.8222	76.6349	-78.0662	0.00414308
132	51.5111	69.7219	-77.0064	0.00410835
133	47.4777	67.4647	-76.3933	0.00408751
134	44.6618	71.0967	-75.2292	0.00404832
135	35.7188	69.7048	-77.2822	0.00411855
136	22.1414	69.2933	-77.9628	0.00414238
137	47.1471	64.9706	-77.759	0.00413559
138	48.8396	67.5317	-75.7701	0.00406753
139	42.5992	70.1359	-75.3928	0.00405589
140	31.9665	70.0034	-76.2398	0.00408414
141	35.8538	62.8313	-78.6125	0.00416657
142	32.2291	65.9011	-79.344	0.0041929
143	29.6997	61.0893	-80.9608	0.0042487
144	40.4499	60.9221	-80.7544	0.00424168
145	22.4244	61.8262	-82.5212	0.00430274
146	26.5522	65.2575	-83.9999	0.00435232
147	33.2212	62.2601	-84.6116	0.00437343
148	36.6746	62.6183	-85.0958	0.00439115
149	38.1758	57.8159	-84.579	0.0043758
150	34.1009	63.6803	-85.588	0.00441051
151	31.7329	62.8764	-87.6631	0.0044821
152	34.2635	61.6954	-88.6104	0.00451744
153	21.7111	57.9767	-89.7246	0.0045605
154	38.8792	62.2873	-89.3193	0.00454514
155	42.8281	63.7127	-89.1543	0.00453819
156	41.1242	58.427	-87.0878	0.0044705
157	35.8569	59.8228	-87.1429	0.00447361
158	31.0368	64.4406	-87.9927	0.00450558
159	33.6226	59.5044	-89.9034	0.00457166
160	36.7277	63.859	-89.5737	0.00456384
161	39.3074	59.0134	-88.158	0.00451511
162	19.459	60.4606	-90.0708	0.00458476
163	38.9118	67.1769	-88.7637	0.00453961
164	33.8961	63.0709	-89.1942	0.00455702
165	36.1143	62.538	-89.1331	0.00455596
166	30.1897	58.6358	-89.8533	0.00458414
167	21.0347	66.5891	-90.4219	0.00460578
168	25.28	65.806	-91.8839	0.00465759
169	37.7118	69.9664	-90.9162	0.0046271
170	38.4211	71.6108	-90.8398	0.00462655
171	36.9668	69.3817	-90.6084	0.00461909
172	42.7789	67.1813	-90.6128	0.00462159
173	44.1882	68.084	-90.7391	0.00462741
174	42.4404	67.6645	-90.4168	0.00461852
175	42.2176	63.24	-90.0929	0.00460947
176	44.0274	64.756	-89.7272	0.00459693
177	41.999	62.9945	-88.9982	0.00457325
178	41.4249	62.7301	-88.818	0.00456714
179	42.8996	65.8243	-88.3772	0.00455195
180	36.5821	67.3548	-87.5065	0.00451889
181	41.9269	65.4864	-86.0885	0.00446514
182	10.4761	68.8806	-87.9818	0.0045394
183	40.5818	68.8199	-86.5588	0.00448517
184	42.8343	60.6736	-86.3353	0.00447806
185	36.248	66.8461	-85.8799	0.00446054
186	39.1202	67.4127	-85.5867	0.00445537
187	41.3141	64.5481	-85.421	0.00445227
188	45.6997	68.3474	-85.4705	0.00445488
189	36.7243	67.5542	-85.5172	0.0044549
190	34.4911	64.9051	-85.1588	0.00444279
191	38.8707	60.1434	-84.5316	0.0044241
192	36.117	66.1169	-84.0899	0.00440891
193	38.6462	68.2263	-83.5932	0.00439457
194	36.5485	69.6636	-83.1635	0.00438092
195	35.1491	65.4441	-83.1781	0.00438173
196	32.8299	66.0231	-82.2447	0.00434987
197	39.4307	64.6851	-81.9567	0.00434007
198	42.5357	65.7095	-81.3162	0.00431755
199	39.36	64.0863	-81.1868	0.00431464
200	33.4881	65.3091	-80.8574	0.00430257
201	37.5053	63.8442	-79.5183	0.00424851
202	20.5347	62.8033	-81.298	0.00432116
203	37.5018	69.618	-79.9545	0.00426664
204	32.9902	68.1611	-78.9162	0.00422273
205	32.322	61.3393	-78.8443	0.00421993
206	25.8396	69.222	-79.349	0.00424064
207	43.0592	60.3242	-79.2763	0.00423781
208	33.1062	65.4816	-79.3538	0.00424085
209	42.4714	68.7483	-79.1964	0.00423518
210	35.6114	65.3872	-78.3767	0.00420618
211	27.9839	61.1631	-78.7893	0.00422326
212	28.9598	65.3485	-78.1009	0.00419758
213	36.7533	68.3756	-77.1387	0.00416496
214	38.9063	62.4633	-76.4079	0.00414214
215	30.7169	60.1306	-75.8784	0.00412827
216	38.3121	65.3245	-75.3632	0.00411008
217	40.5158	60.4787	-75.1578	0.00410487
218	38.3028	62.9699	-74.464	0.00407747
219	33.8693	66.0541	-74.0303	0.00406217
220	22.4674	62.5968	-74.874	0.00409417
221	34.2715	57.6215	-74.4384	0.00407874
222	23.2673	58.5892	-75.048	0.00410202
223	31.6912	57.0914	-74.4155	0.00407976
224	35.2761	59.2886	-74.3864	0.00407872
225	37.8266	59.333	-74.1985	0.00407369
226	31.5183	58.6055	-74.0175	0.0040652
227	22.0167	60.1493	-74.0953	0.00407183
228	24.095	59.048	-74.442	0.00408837
229	27.1173	56.9824	-73.9338	0.00407017
230	33.0658	59.2326	-72.9069	0.00403704
231	36.3292	57.1168	-72.8909	0.00403789
232	30.4123	56.03	-72.6415	0.00403006
