Step	Best	Median	Predicted	Progress
0	80.7068	91.9707	0	0
1	76.9058	92.0047	-1823.61	0.0494246
2	0.800281	87.3735	-19975.8	1.92296
3	1.08327	86.4864	-16120.6	1.30039
4	0.919219	85.4646	-9972.53	0.646796
5	0.893339	73.4076	-81.1999	0.14236
6	0.873446	73.489	-46.6837	0.0916834
7	0.656489	56.1921	-49.7288	0.102023
8	0.840455	35.4387	-29.4585	0.0626734
9	0.870661	57.131	-12.1349	0.0284801
10	0.759216	38.196	-12.4081	0.0297221
11	0.824875	57.698	-12.1866	0.029315
12	0.844343	47.4407	-10.6941	0.026162
13	0.839237	44.6382	-9.18297	0.0225432
14	0.709553	14.4334	-9.35866	0.0236985
15	0.639404	33.4776	-9.5311	0.0243807
16	0.731429	1.04869	-9.39897	0.0242737
17	0.688305	0.966829	-9.27073	0.0238504
18	0.744943	21.712	-8.03688	0.0211618
19	0.600773	14.9186	-8.76949	0.0231518
20	0.658725	43.6726	-8.07173	0.0216193
21	0.588472	23.497	-8.85927	0.0238306
22	0.590659	13.0928	-8.85501	0.0239429
23	0.602975	0.977477	-8.63554	0.0236884
24	0.600957	9.63667	-8.57114	0.0237034
25	0.591459	0.846422	-8.44904	0.023337
26	0.600971	23.8648	-8.12754	0.0226041
27	0.603277	50.8862	-7.81128	0.0220876
28	0.600097	0.876407	-7.50644	0.0214284
29	0.592033	4.27182	-7.22012	0.0208412
30	0.597663	65.3086	-7.10511	0.0207006
31	0.600121	58.4623	-6.75658	0.0198548
32	0.585019	0.880059	-6.4503	0.0190083
33	0.597651	52.2422	-5.54219	0.0166023
34	0.587813	0.854301	-5.14009	0.0157089
35	0.580228	0.846489	-4.5912	0.0143394
36	0.579283	12.1771	-4.09884	0.0131162
37	0.5979	0.853332	-3.84305	0.0124975
38	0.600295	8.24452	-2.96025	0.010211
39	0.589208	0.866357	-2.41398	0.00882597
40	0.588676	0.826259	-2.02186	0.00773232
41	0.582669	3.82973	-1.79647	0.0070673
42	0.593986	3.3771	-1.49033	0.00624646
43	0.587455	3.39772	-1.19811	0.00544975
44	0.578329	0.842356	-1.03565	0.0049961
45	0.585729	0.802861	-0.860783	0.00449885
46	0.591554	0.898663	-0.807881	0.0043481
47	0.589346	0.818636	-0.72802	0.00410674
48	0.591753	19.6634	-0.676564	0.00394945
49	0.576207	0.825684	-0.584234	0.00367876
50	0.592278	0.79827	-0.502675	0.00343556
51	0.591453	0.855586	-0.465655	0.00332486
52	0.593238	0.803005	-0.360669	0.00300947
53	0.579649	0.809693	-0.320669	0.00288388
54	0.575093	0.756393	-0.261559	0.00270254
55	0.572374	0.748708	-0.250414	0.00266707
56	0.5656	5.8644	-0.225465	0.00259015
57	0.577984	10.7684	-0.173946	0.00243089
58	0.568221	0.82873	-0.157876	0.0023801
59	0.573162	6.49633	-0.141745	0.00232863
60	0.570432	26.2453	-0.111284	0.00223294
61	0.566577	0.772469	-0.101735	0.00220202
62	0.575382	34.0193	-0.0939365	0.0021762
63	0.572658	0.759662	-0.0800744	0.00213173
64	0.564161	0.758766	-0.0730788	0.00210842
65	0.561072	0.76233	-0.0895021	0.00215744
66	0.558888	0.778429	-0.106649	0.00220878
67	0.558738	0.749523	-0.118192	0.00224279
68	0.571019	15.8935	-0.102536	0.00219266
69	0.566101	6.84923	-0.0801572	0.00212179
70	0.562935	0.72094	-0.0750408	0.00210419
71	0.557782	0.776711	-0.0632623	0.00206591
72	0.550608	0.753154	-0.0832976	0.00212635
73	0.54925	0.670947	-0.100336	0.00217739
74	0.543165	0.577126	-0.114703	0.00222027
75	0.536504	0.564946	-0.129044	0.00226309
76	0.516375	0.555522	-0.156898	0.00234786
77	0.522628	0.70113	-0.18074	0.00241978
78	0.511698	0.547566	-0.192183	0.00245338
79	0.510397	0.541247	-0.207399	0.00249826
80	0.514871	38.2476	-0.222089	0.00254158
81	0.512892	0.652288	-0.229766	0.00256394
82	0.51409	0.658597	-0.242963	0.00260314
83	0.513099	0.598824	-0.254677	0.00263754
84	0.512724	0.555699	-0.268593	0.00267964
85	0.500765	0.606508	-0.288916	0.00274283
86	0.506679	31.7239	-0.299181	0.00277401
87	0.505482	0.635409	-0.317315	0.00282916
88	0.501164	0.620454	-0.344153	0.00291055
89	0.500702	0.602546	-0.353634	0.00293977
90	0.498011	0.666797	-0.37379	0.00300275
91	0.498122	0.600417	-0.400177	0.00308423
92	0.498631	0.652076	-0.427675	0.00317193
93	0.498792	0.584058	-0.435599	0.00319597
